rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
23,"(128, 64, 32)",0.0517947467923121,tanh,0.999340618080821,5.360458572012579e-05,0.970087669786234,0.004687046453915049,0.9677523296952281,0.9705770946906671,0.9745262031092911,0.9751587487133688,0.9624239727226145,0.029252948294587022,0.00483156997031812,90.63337411880494,9.997490339651677
24,"(64, 64, 32)",0.13894954943731375,tanh,0.9987408991317576,6.649254166031747e-05,0.9700817110544848,0.003498413162538068,0.9673854406542787,0.9763946779840444,0.9680776365395527,0.9713675829040364,0.9671832171905121,0.028659188077272746,0.003606307718898516,83.4218168258667,8.695097287271016
25,"(128, 64, 32)",0.011787686347935873,tanh,0.9992433717633359,0.00013119813121485253,0.9697173348892889,0.00552004582842378,0.9641630431875521,0.973839744501851,0.9784927303202187,0.9665646896459116,0.9655264667909118,0.02952603687404698,0.005692427710446153,66.22280883789062,2.6433271090103982
26,"(100, 50, 25)",0.004393970560760791,tanh,0.9991010269356189,0.0002527083582954923,0.9694587638881167,0.011022070673314753,0.9479578269749394,0.9776881707576542,0.9771160301368087,0.9710364490226284,0.9734953425485524,0.02964226304750217,0.011369303248247068,61.056809425354004,7.318115622802852
27,"(128, 64, 32)",0.0071968567300115215,tanh,0.9993154099096365,6.557078125200756e-05,0.9693470537579358,0.004832365531886277,0.9679645427351588,0.9662206377322181,0.9760726610087067,0.9735951276075508,0.9628822997060447,0.02996835615170068,0.004985175859515234,69.76980819702149,4.821360361893303
28,"(128, 64, 32)",0.08483428982440717,tanh,0.9992001206239411,7.218030048515429e-05,0.9692916195191552,0.0035171168286055846,0.966874472110402,0.9660308902213,0.9744742109990876,0.9725718920641713,0.9665066322008151,0.029908501104785934,0.0036285435237233877,101.48211798667907,9.997419887299111
29,"(128, 64, 32)",1.0,tanh,0.9930187894759032,0.0007459630328031573,0.9690531269552963,0.005017566595337266,0.9663649323530095,0.9734989498538464,0.9725855948143741,0.9724254393199784,0.9603907184352726,0.023965662520606834,0.005177803420440057,150.0516559123993,43.28723057543363
30,"(100, 50, 25)",0.0026826957952797246,tanh,0.9990556170051864,0.0001617451584203927,0.9690167525972925,0.009029520145188428,0.9520213103150076,0.9763784010112347,0.9754624327293021,0.9736102608785311,0.9676113580523866,0.03003886440789394,0.009318229144115684,55.67828078269959,7.218057001177093
31,"(64, 64, 32)",0.22758459260747887,tanh,0.9981208998077207,0.00017307709709765668,0.9689565815976809,0.0041354912743762785,0.9654601451806735,0.9720741168514915,0.9744938306953942,0.9695080579181734,0.9632467573426715,0.02916431821003973,0.004267984090223528,85.44571375846863,9.39439984053964
32,"(128, 64, 32)",0.004393970560760791,tanh,0.9993172782670368,4.657294033008393e-05,0.9686994525990176,0.006156801155152571,0.9612047621065805,0.9687316881450517,0.9755370954317932,0.9755849486071141,0.9624387687045486,0.030617825668019183,0.006355739273552693,71.09825897216797,3.5562043499013387
