rank_test_score,param_hidden_layer_sizes,param_alpha,param_activation,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
25,"(64, 64, 32)",0.03162277660168379,tanh,0.9992567785532083,9.267192746382424e-05,0.9688487994011841,0.009849534376491578,0.9540047483884153,0.9645059696405311,0.972513492555736,0.9691278652029849,0.9840919212182528,0.0304079791520242,0.010166224474427046,53.550413846969604,2.2169818061797244
26,"(128, 64, 32)",0.0016378937069540646,tanh,0.9991705699801365,8.110824537861204e-05,0.968732603575457,0.007466380140141686,0.9553727553598299,0.9662313507946179,0.9721541738753746,0.9733848474924903,0.976519890354972,0.03043796640467955,0.007707369518259547,75.20801577568054,3.237539782651046
27,"(64, 64, 32)",0.3727593720314938,tanh,0.9963416554297841,0.00019863407495359243,0.9685657536610804,0.01019283169212033,0.9534989636155703,0.9626470429006679,0.9785827940532407,0.9670881188148222,0.9810118489211012,0.027775901768703704,0.010523634202006893,78.53441705703736,4.776788881561467
28,"(64, 64, 32)",0.13894954943731375,tanh,0.9984814120347268,0.0001999463206232359,0.9685326116268536,0.007997333752219246,0.9541709096900225,0.9725480413875441,0.9696415432891098,0.967978728465984,0.9783238353016074,0.02994880040787329,0.008257165175663056,69.7708646774292,5.126678032710889
29,"(128, 64, 32)",0.6105402296585326,tanh,0.9946565254459578,0.000378550295905582,0.9682338748334537,0.00707638574470057,0.9576529056128081,0.9620151112466647,0.975707802715071,0.9724488213244358,0.9733447332682891,0.02642265061250415,0.007308550060715219,134.35241742134093,28.186367421285333
30,"(128, 64, 32)",0.08483428982440717,tanh,0.9989043069570988,9.147504301853627e-05,0.9678952002808913,0.008919960199102102,0.9526767220323513,0.9667673014797302,0.9758394624489866,0.9663280194627629,0.9778644959806257,0.031009106676207487,0.009215832660925951,108.29745416641235,8.209776521223178
31,"(100, 50, 25)",0.0026826957952797246,tanh,0.9991802156930867,0.00013922563931114331,0.9678748857092687,0.011467679711736194,0.9596950892497539,0.9499098537862809,0.9718436370965188,0.9807302335627068,0.9771956148510833,0.031305329983817964,0.011848307959073202,59.940561294555664,4.545706230113092
32,"(128, 64, 32)",0.22758459260747887,tanh,0.9978454322890066,0.0001175627826164634,0.9678665747140436,0.006414637193761719,0.9568303188973849,0.9651679942098536,0.9738549328170849,0.9694168655572849,0.9740627620886095,0.02997885757496299,0.006627604838669964,121.54022240638733,10.675706444899557
33,"(128, 64, 32)",0.004393970560760791,tanh,0.9990045252271598,0.00012002480085314434,0.9673783253526832,0.009104113483954677,0.9557660056769983,0.9602186503518815,0.965038975236902,0.9779182046645712,0.9779497908330625,0.03162619987447657,0.009411119977941963,69.90157670974732,4.420097713107293
34,"(128, 64, 32)",0.3727593720314938,tanh,0.9968267452510673,0.00014411661623781776,0.9670416380096268,0.009322225672691909,0.951576904104483,0.961854958312485,0.9697884941525918,0.9754335557627094,0.9765542777158643,0.029785107241440456,0.009639942383327974,134.26413669586182,13.034257988849918
35,"(64, 64, 32)",0.0071968567300115215,tanh,0.9992074326637945,9.568210686215856e-05,0.9670087450665955,0.011671311400534951,0.9552012824931367,0.9648005024359041,0.9551441381651994,0.9744198475458921,0.9854779546928454,0.032198687597199016,0.012069499329844403,45.89068651199341,2.2470161650315386
36,"(128, 64, 32)",1.0,tanh,0.9910919992957601,0.0005999347133873725,0.9667325299904943,0.007893928216476399,0.9567462894945542,0.9575939687316141,0.9727856328533657,0.9714995518473634,0.9750372070255741,0.02435946930526578,0.008165576280498204,149.36299352645875,14.1822110172176
37,"(64, 64, 32)",0.22758459260747887,tanh,0.9977069439766215,0.00015510755665472078,0.9655558975808439,0.006982049703228534,0.9573664081312797,0.9569916865445672,0.9722599569585303,0.9685945677337109,0.972566868536132,0.032151046395777594,0.0072311191104748465,72.26710262298585,8.236609278189158
38,"(64, 64, 32)",0.0517947467923121,tanh,0.9992047815665736,5.0282381414069874e-05,0.9655462049313093,0.007155756897158482,0.955800213762798,0.9614880112130654,0.9646519781453771,0.9686675443228557,0.9771232772124503,0.03365857663526428,0.007411097325650569,60.75263662338257,6.628120651846403
39,"(64, 64, 32)",0.011787686347935873,tanh,0.9991966504430266,0.00022944418865330867,0.9654726857698277,0.008382994666260952,0.9557378701293702,0.956133509031218,0.9669427665555115,0.9717971275954335,0.9767521555376051,0.033723964673198936,0.008682788016500645,48.271543455123904,3.6475764212566033
40,"(64, 64, 32)",0.004393970560760791,tanh,0.9991852753433793,0.000265408157587831,0.9651125368594732,0.011160323068012061,0.9552705976446877,0.9578080349745666,0.9553285647205801,0.9759136441748029,0.9812418427827289,0.03407273848390613,0.011563753077261164,46.47875337600708,4.77316512762529
