rank_test_score,param_max_depth,param_learning_rate,param_n_estimators,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_alpha,param_reg_lambda,mean_train_score,std_train_score,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,Gap_CV,Coef_Variacion,mean_fit_time,std_fit_time
53,11,0.07,500,0.8,0.8,9,0.0,0.5,10,0.9945300545077579,0.00010650441484208494,0.8965476027247965,0.011906038751797353,0.8982325387153255,0.8872634013834314,0.8856143728367278,0.8929984068427164,0.9186292938457814,0.09798245178296139,0.013279873500985782,3.0983797550201415,0.04395343061539663
54,11,0.07,700,0.8,0.8,7,0.0,0.5,5,0.997574072684483,5.570408426829435e-05,0.8965402758004011,0.012737319947600544,0.898533774864102,0.8870080032442622,0.8854995665719168,0.8913065449644525,0.9203534893572716,0.10103379688408187,0.014207192126677289,4.246926116943359,0.015882833225810612
55,11,0.03,400,0.8,0.8,5,0.0,0.5,5,0.9876920650227428,0.00029483120107361377,0.8965011829161034,0.012654498464377125,0.8971925758994749,0.888197345559732,0.8846072465424618,0.8921204645864261,0.9203882819924225,0.09119088210663939,0.014115428630239032,3.092360591888428,0.04329851993212159
56,9,0.07,700,0.8,0.8,5,0.0,0.5,10,0.9961305798065425,0.00012645233042304647,0.8964868961137828,0.012975959665138943,0.8963923849968735,0.8849822468532642,0.8858762441921407,0.8943576052001108,0.9208259993265246,0.09964368369275967,0.014474232385759293,3.6395259380340574,0.03407234746984988
57,11,0.05,500,0.8,0.8,7,0.0,0.5,1,0.9961568838831327,7.957332046395193e-05,0.8964806397886163,0.01202218578060622,0.9004794922162944,0.8846168501714713,0.8853441723657497,0.8945494386089795,0.9174132455805866,0.09967624409451648,0.013410424327112034,3.3420764446258544,0.048286079683739706
58,11,0.03,400,0.8,0.8,5,0.0,0.5,1,0.9922521603609569,0.00022107834857957903,0.8964749353678185,0.012685823951376938,0.8988341856171651,0.8870808792842282,0.8837796533985012,0.8930165426157664,0.9196634159234315,0.09577722499313834,0.014150784869598186,3.1249136924743652,0.045275970792315164
59,11,0.07,700,0.8,0.8,5,0.0,0.1,10,0.9993831375243113,4.587743142422799e-05,0.8964602677818402,0.01174544506746265,0.898486637155332,0.8873687602976336,0.8858772575244619,0.8923366193578021,0.9182320645739714,0.10292286974247111,0.013102025253751665,5.710296869277954,0.128947092897806
60,11,0.05,700,0.8,0.8,9,0.0,0.5,5,0.9958733394230105,9.863667101355143e-05,0.8964485470518344,0.012176286936750182,0.8979199426018982,0.8858287917938876,0.8859097690315445,0.8936132343977834,0.9189709974340589,0.09942479237117607,0.013582806260096628,4.260148620605468,0.03633801176960919
61,11,0.03,500,0.8,0.8,7,0.0,0.5,10,0.9847548255411139,0.00025653224695705416,0.896408754504597,0.012054028384850257,0.8974434963308879,0.8876940614982274,0.8857477466553394,0.8920214141493208,0.9191370538892093,0.08834607103651693,0.013447022158448188,3.3877374172210692,0.04528958200809973
62,11,0.07,500,0.8,0.8,7,0.0,0.5,5,0.9964998285101885,9.435754996755963e-05,0.8963918887654243,0.012890892402186207,0.8982066683989937,0.8866385474687035,0.8852649912540993,0.8913146777631081,0.9205345589422171,0.10010793974476417,0.014380866854942737,3.2771848678588866,0.07616572094250679
63,11,0.03,700,0.8,0.8,5,0.0,0.0,10,0.9943585527128999,0.0003383933560341972,0.8963639622635032,0.012677705182636195,0.8996322128209678,0.8882870555398015,0.8842781745836681,0.8899969042633815,0.9196254641096973,0.09799459044939662,0.014143479341385372,5.38553261756897,0.18433596721382411
64,11,0.03,700,0.8,0.8,9,0.0,0.5,1,0.9939403889937074,0.00016776543529586267,0.8963313481263949,0.012516509739408882,0.8994344860105254,0.8864589966829982,0.8838517856373791,0.8930092091463926,0.918902263154679,0.09760904086731248,0.013964154846946046,4.314446973800659,0.06380182234347924
65,11,0.03,700,0.8,0.8,7,0.0,0.1,10,0.9923450003870045,0.00027945184557552285,0.8963002519807743,0.01216162541515699,0.8985766185708641,0.8880465967727635,0.8839828436398991,0.892272728963554,0.9186224719567906,0.09604474840623012,0.013568695744847181,4.671287298202515,0.08835735031474479
66,11,0.07,700,0.8,0.8,9,0.0,0.5,1,0.9977285597640945,5.389819515481565e-05,0.8962448241084523,0.012980743204138176,0.8991400412230877,0.8823234961211923,0.8844269625348196,0.8967185815969201,0.9186150390662422,0.10148373565564217,0.014483479128653142,3.9229922771453856,0.0329263846011796
67,11,0.07,500,0.8,0.8,5,0.0,0.1,10,0.9983415565852963,0.00011268951892338025,0.8962308150457247,0.011902854531485292,0.8982157146902128,0.8871106274800997,0.8854032155686641,0.8921221382357943,0.9183023792538529,0.10211074153957167,0.013281014590954477,4.044190549850464,0.12880934311538272
68,9,0.05,700,0.8,0.8,7,0.0,0.5,10,0.9928393884795211,0.0001779317949964083,0.8962281742311464,0.012228409999581056,0.8963528025266411,0.8866916891687828,0.8862764964084895,0.8923047798464823,0.9195151032053365,0.09661121424837471,0.013644304376027375,3.3849113464355467,0.021218670275204875
69,9,0.05,500,0.8,0.8,5,0.0,0.5,1,0.9951268002490583,9.016579029997214e-05,0.8961990848643732,0.01204979030468411,0.8980473520306745,0.8876536525024987,0.8862180692559244,0.890205604036437,0.9188707464963304,0.09892771538468514,0.013445439197818054,2.677697944641113,0.027417635702201806
70,11,0.07,500,0.8,0.8,9,0.0,0.5,1,0.9968299312383595,8.965044909979339e-05,0.8961814370277243,0.01304465111492603,0.8987579439426905,0.8823068578266036,0.8842209105486154,0.8968988879019588,0.9187225849187537,0.10064849421063515,0.014555814900819553,3.01698637008667,0.030342895581380064
71,11,0.07,400,0.8,0.8,7,0.0,0.5,5,0.9953555382149926,0.00014978172040134492,0.8961706543665452,0.013048866317478622,0.897903356184232,0.8861719885347931,0.8848754754101227,0.8912970666804217,0.9206053850231564,0.09918488384844737,0.014560693606623577,2.7536881446838377,0.047009035712393905
72,11,0.05,500,0.8,0.8,5,0.0,0.1,10,0.9959990480801224,0.00021227879659450262,0.8961703377319274,0.013161069821264547,0.8998111860645831,0.8844838097920988,0.8842110481065811,0.8925142338963877,0.9198314107999868,0.09982871034819496,0.014685902073676349,3.9439785957336424,0.0820713799497674
73,11,0.07,400,0.8,0.8,9,0.0,0.5,10,0.9924355989900029,0.00013299747379648023,0.8961575894158162,0.012027029351337704,0.8977111116242371,0.8869269358410049,0.8848336793889097,0.8928737827326789,0.9184424374922507,0.09627800957418664,0.01342066338932401,2.4920164585113525,0.010224804234895158
74,9,0.03,700,0.8,0.8,5,0.0,0.5,10,0.9869527597274041,0.000295479879094863,0.8961465312444725,0.012604057088234647,0.8964559972274785,0.8882066594580469,0.8859541861028655,0.8897532535499257,0.920362559884046,0.09080622848293163,0.01406472786401514,3.6316324710845946,0.02919329457543652
75,11,0.05,400,0.8,0.8,7,0.0,0.5,1,0.9948724315800213,0.00012074651531679152,0.8961413500829544,0.012223390554365455,0.8998748519267518,0.884138747070286,0.8848254214359972,0.8943317546108783,0.9175359753708582,0.09873108149706689,0.013640025151427234,2.765593147277832,0.052599023734394866
76,11,0.03,500,0.8,0.8,7,0.0,0.5,1,0.9924403687491898,0.0001991515005007799,0.8960469289970195,0.013322862738100846,0.8992345869265624,0.886260619874596,0.8813091144108187,0.8937395157826509,0.9196908079904693,0.0963934397521703,0.014868487695185393,3.45078182220459,0.06399302727998114
77,9,0.05,700,0.8,0.8,9,0.0,0.5,10,0.9916640990360364,0.0002177054140970314,0.8960426852138832,0.012617931368561914,0.8962951735565875,0.8851886004021923,0.8858283453824368,0.8930864902323884,0.9198148164958113,0.09562141382215317,0.014081841832735954,3.1993548393249513,0.058159288182628666
78,11,0.07,400,0.8,0.8,9,0.0,0.5,1,0.9958883444453367,0.0001261210384945423,0.8960365650064099,0.013163185726202778,0.8984300488669297,0.8819141854756469,0.8840446698634742,0.8970334108965983,0.9187605099294005,0.09985177943892676,0.014690455992840664,2.494249629974365,0.050013184689444254
79,9,0.07,500,0.8,0.8,5,0.0,0.5,10,0.9937850169744366,0.0002081291044736922,0.8960277741346687,0.013091595651955607,0.8958662851701147,0.8843856609318795,0.8852514763760235,0.8940827331391753,0.9205527150561501,0.09775724283976783,0.01461070296018302,2.6328310489654543,0.03397636958238578
80,11,0.05,500,0.8,0.8,9,0.0,0.5,5,0.9933927191409259,0.0001683054879359857,0.8959854463770203,0.012298487728425796,0.8970985566644261,0.8854092325240305,0.8853074504236107,0.8932826421220645,0.9188293501509697,0.0974072727639056,0.01372621372161299,3.090123176574707,0.026990037646013855
81,9,0.05,500,0.8,0.8,5,0.0,0.5,5,0.9927830579626485,0.0001109004367934665,0.895963566514196,0.012696319814334608,0.8958641217194562,0.8868748829819518,0.8848183081713891,0.8921226095060951,0.9201379101920883,0.09681949144845259,0.01417057600202479,2.6611047744750977,0.046908331488721124
82,9,0.03,700,0.8,0.8,5,0.0,0.5,1,0.9938635974528699,8.368956790898522e-05,0.895946138931101,0.012398248930151519,0.8973143606759276,0.8859636381015521,0.8846029973864562,0.8929009414235431,0.9189487570680256,0.09791745852176892,0.013838163245999496,3.7492671966552735,0.04942912053150253
83,11,0.05,700,0.8,0.8,5,0.0,0.1,5,0.9991862965311133,6.766493207000331e-05,0.8959406859216772,0.01201677003744421,0.8984114767313363,0.8870071898452748,0.8848870322408613,0.8912730139102325,0.9181247168806813,0.10324561060943616,0.013412461590671318,5.617991781234741,0.13236631421471765
84,9,0.07,700,0.8,0.8,5,0.0,0.5,1,0.9976700490715507,4.2152355814350774e-05,0.8959283418469264,0.012115388448710695,0.8973359887687363,0.8875280017398164,0.8840129635315699,0.8923318569522933,0.918432898242216,0.10174170722462428,0.01352272038156001,3.436533260345459,0.013723704793844532
85,11,0.03,500,0.8,0.8,5,0.0,0.1,5,0.993341681457192,0.0003578002068483046,0.8959090277110731,0.012815289918140727,0.8993209457381284,0.8873583117622343,0.8822704869503211,0.8916211051434088,0.9189742889612724,0.09743265374611898,0.014304231257588807,4.013381385803223,0.10052049579563656
86,11,0.07,400,0.8,0.8,5,0.0,0.1,10,0.9970129431531063,0.00018821904191162236,0.8959042340057429,0.012061033270238872,0.8979252849818457,0.886693554264854,0.8848071252443841,0.8918553106659368,0.9182398948716937,0.10110870914736336,0.01346241351747151,3.2240592002868653,0.09031547564095363
87,11,0.05,700,0.8,0.8,5,0.0,0.0,10,0.9984619030981394,0.00013422951301481594,0.8958983884429189,0.01244156211227594,0.899787910043991,0.8864174035301123,0.8836502729517257,0.8914054363880758,0.9182309193006901,0.10256351465522051,0.013887246894036174,5.3219749450683596,0.16357451249460322
88,11,0.03,700,0.8,0.8,7,0.0,0.1,5,0.9948854981674543,0.00024891417558773406,0.8958027399610055,0.012784004882652043,0.8984137503029634,0.8868288457148473,0.8820496688258759,0.8928543159408285,0.9188671190205124,0.09908275820644885,0.014271004443688723,4.67559847831726,0.08905838033627858
89,11,0.07,700,0.8,0.8,5,0.0,0.1,5,0.9996814841978496,1.9073537021826766e-05,0.8957787764840133,0.013085615609811136,0.8995687397786291,0.8851861106148343,0.8826454792913287,0.8923603513606225,0.9191332013746514,0.10390270771383636,0.0146080884626146,5.702521467208863,0.11615600891346312
90,11,0.03,700,0.8,0.8,5,0.0,0.0,5,0.9967326392220608,0.00022672374111650122,0.8957507429771173,0.012960757882921847,0.89883418172812,0.8868695737279425,0.8824786277435162,0.8912581052595642,0.9193132264264433,0.10098189624494347,0.014469156720814396,5.297572422027588,0.11452327891762773
91,11,0.07,700,0.8,0.8,7,0.0,0.1,10,0.9990328361418234,8.048014103789564e-05,0.8957476188683776,0.012732367812942586,0.9009863710937444,0.8875419398799698,0.8815878783361679,0.890734711507902,0.9178871935241041,0.10328521727344575,0.01421423573419903,5.002272605895996,0.17406466902431944
